ID,Response
50883,0.06931511737620544
50884,0.12710833999192392
50885,0.4418884948610724
50886,0.11008046419169633
50887,0.04097913864048913
50888,0.06404594740627959
50889,0.42095380306569397
50890,0.5088425570238232
50891,0.11455651129546904
50892,0.14870901331478384
50893,0.05549103638803079
50894,0.37394069127636026
50895,0.09737159829964306
50896,0.11761666917781771
50897,0.3861389772364849
50898,0.5858119219011749
50899,0.11174266839517999
50900,0.20340650364716603
50901,0.474945015886934
50902,0.08784004287241605
50903,0.027209061537433653
50904,0.4107333534858112
50905,0.6335203048830869
50906,0.028084251534839837
50907,0.07611468253944753
50908,0.09903826266416908
50909,0.41819167697622217
50910,0.5313532996021214
50911,0.06699890608697663
50912,0.10764841280749399
50913,0.33497940823005873
50914,0.04914513667565047
50915,0.05603931124081289
50916,0.04101003793178463
50917,0.6277156051417924
50918,0.5963329174032553
50919,0.25366400921747567
50920,0.10386313822046223
50921,0.4175333114393459
50922,0.04294294029697006
50923,0.022661697403616454
50924,0.06559688955749306
50925,0.3217974933754822
50926,0.10860409086278516
50927,0.514522518009317
50928,0.3254309085464887
50929,0.08206728094654257
50930,0.018983858692195554
50931,0.07101667253880077
50932,0.6149673065654521
50933,0.1681037074939591
50934,0.03569565356786498
50935,0.5416315275535806
50936,0.06307282583332731
50937,0.5776974235441206
50938,0.04758528766677685
50939,0.4484051942705554
50940,0.3764599737941894
50941,0.38049110777433515
50942,0.5127424795180611
50943,0.30533132992755957
50944,0.05133123426777835
50945,0.3960009911220334
50946,0.17842193957527916
50947,0.4167608077271505
50948,0.4764884889309766
50949,0.20195889725540078
50950,0.3925687848312454
50951,0.6547203335002428
50952,0.5372942775007418
50953,0.42767028222720893
50954,0.03926126683637937
50955,0.039979441442871556
50956,0.08731442204461583
50957,0.004154977178274753
50958,0.10156147093171626
50959,0.004246690911547018
50960,0.5451988497942825
50961,0.024154512280562736
50962,0.11833041054204818
50963,0.048950098983433436
50964,0.07620890507383042
50965,0.6403465224941918
50966,0.08742731264447696
50967,0.41512565045316185
50968,0.4768464393598139
50969,0.06765091100198634
50970,0.04300893556475696
50971,0.036082619252916046
50972,0.43169491791064085
50973,0.03194108352216126
50974,0.1131689636150936
50975,0.16392619299761177
50976,0.1649656253112002
50977,0.19821663119411467
50978,0.2604190453937995
50979,0.048326721932307595
50980,0.6140594974617394
50981,0.030880070200675465
50982,0.05532019804000424
50983,0.47757532719988954
50984,0.15608751758741113
50985,0.0899673172023591
50986,0.21481044336791855
50987,0.25656957555243326
50988,0.6054241635026799
50989,0.007155891281019278
50990,0.5333522627756502
50991,0.503207516924633
50992,0.12109939887095848
50993,0.1698985170471297
50994,0.05927317166375121
50995,0.4533556824262139
50996,0.022214050267975523
50997,0.07566290500155838
50998,0.08451609901469381
50999,0.004667719005371385
